StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
bobcat-1254,Ethernet0,leopard-1253,Ethernet0,400000,101,Access,on
bobcat-1254,Ethernet8,leopard-1253,Ethernet8,400000,102,Access,on
bobcat-1254,Ethernet16,leopard-1253,Ethernet16,400000,103,Access,on
bobcat-1254,Ethernet24,leopard-1253,Ethernet24,400000,104,Access,on
bobcat-1254,Ethernet32,leopard-1253,Ethernet32,400000,105,Access,on
bobcat-1254,Ethernet40,leopard-1253,Ethernet40,400000,106,Access,on
bobcat-1254,Ethernet48,leopard-1253,Ethernet48,400000,107,Access,on
bobcat-1254,Ethernet56,leopard-1253,Ethernet56,400000,108,Access,on
bobcat-1254,Ethernet64,leopard-1253,Ethernet64,400000,109,Access,on
bobcat-1254,Ethernet72,leopard-1253,Ethernet72,400000,110,Access,on
bobcat-1254,Ethernet80,leopard-1253,Ethernet80,400000,111,Access,on
bobcat-1254,Ethernet88,leopard-1253,Ethernet88,400000,112,Access,on
bobcat-1254,Ethernet96,leopard-1253,Ethernet96,400000,113,Access,on
bobcat-1254,Ethernet104,leopard-1253,Ethernet104,400000,114,Access,on
bobcat-1254,Ethernet112,leopard-1253,Ethernet112,400000,115,Access,on
bobcat-1254,Ethernet120,leopard-1253,Ethernet120,400000,116,Access,on
bobcat-1254,Ethernet128,leopard-1253,Ethernet128,400000,117,Access,on
bobcat-1254,Ethernet136,leopard-1253,Ethernet136,400000,118,Access,off
bobcat-1254,Ethernet144,leopard-1253,Ethernet144,400000,119,Access,off
bobcat-1254,Ethernet152,leopard-1253,Ethernet152,400000,120,Access,on
bobcat-1254,Ethernet160,leopard-1253,Ethernet160,400000,121,Access,on
bobcat-1254,Ethernet168,leopard-1253,Ethernet168,400000,122,Access,on
bobcat-1254,Ethernet176,leopard-1253,Ethernet176,400000,123,Access,on
bobcat-1254,Ethernet184,leopard-1253,Ethernet184,400000,124,Access,on
bobcat-1254,Ethernet192,leopard-1253,Ethernet192,400000,125,Access,on
bobcat-1254,Ethernet200,leopard-1253,Ethernet200,400000,126,Access,on
bobcat-1254,Ethernet208,leopard-1253,Ethernet208,400000,127,Access,on
bobcat-1254,Ethernet216,leopard-1253,Ethernet216,400000,128,Access,on
leopard-1253,Ethernet248,fit-sonic-vrt-80,ens2f0,100000,101-132,Trunk
