StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
r-bobcat-03,Ethernet0,r-leopard-80,Ethernet0,100000,101,Access,on
r-bobcat-03,Ethernet4,r-leopard-80,Ethernet4,100000,102,Access,on
r-bobcat-03,Ethernet8,r-leopard-80,Ethernet8,100000,103,Access,on
r-bobcat-03,Ethernet12,r-leopard-80,Ethernet12,100000,104,Access,on
r-bobcat-03,Ethernet16,r-leopard-80,Ethernet16,100000,105,Access,on
r-bobcat-03,Ethernet20,r-leopard-80,Ethernet20,100000,106,Access,on
r-bobcat-03,Ethernet24,r-leopard-80,Ethernet24,100000,107,Access,on
r-bobcat-03,Ethernet28,r-leopard-80,Ethernet28,100000,108,Access,on
r-bobcat-03,Ethernet32,r-leopard-80,Ethernet32,100000,109,Access,on
r-bobcat-03,Ethernet36,r-leopard-80,Ethernet36,100000,110,Access,on
r-bobcat-03,Ethernet40,r-leopard-80,Ethernet40,100000,111,Access,on
r-bobcat-03,Ethernet44,r-leopard-80,Ethernet44,100000,112,Access,on
r-bobcat-03,Ethernet48,r-leopard-80,Ethernet48,100000,113,Access,on
r-bobcat-03,Ethernet52,r-leopard-80,Ethernet52,100000,114,Access,on
r-bobcat-03,Ethernet56,r-leopard-80,Ethernet56,100000,115,Access,on
r-bobcat-03,Ethernet60,r-leopard-80,Ethernet60,100000,116,Access,on
r-bobcat-03,Ethernet64,r-leopard-80,Ethernet64,100000,117,Access,on
r-bobcat-03,Ethernet68,r-leopard-80,Ethernet68,100000,118,Access,on
r-bobcat-03,Ethernet72,r-leopard-80,Ethernet72,100000,119,Access,on
r-bobcat-03,Ethernet76,r-leopard-80,Ethernet76,100000,120,Access,on
r-bobcat-03,Ethernet80,r-leopard-80,Ethernet80,100000,121,Access,on
r-bobcat-03,Ethernet84,r-leopard-80,Ethernet84,100000,122,Access,on
r-bobcat-03,Ethernet88,r-leopard-80,Ethernet88,100000,123,Access,on
r-bobcat-03,Ethernet92,r-leopard-80,Ethernet92,100000,124,Access,on
r-bobcat-03,Ethernet96,r-leopard-80,Ethernet96,400000,125,Access,on
r-bobcat-03,Ethernet104,r-leopard-80,Ethernet104,400000,126,Access,on
r-bobcat-03,Ethernet112,r-leopard-80,Ethernet112,400000,127,Access,on
r-bobcat-03,Ethernet120,r-leopard-80,Ethernet120,400000,128,Access,on
r-bobcat-03,Ethernet128,r-leopard-80,Ethernet128,400000,129,Access,on
r-bobcat-03,Ethernet136,r-leopard-80,Ethernet136,400000,130,Access,on
r-bobcat-03,Ethernet144,r-leopard-80,Ethernet144,400000,131,Access,on
r-bobcat-03,Ethernet152,r-leopard-80,Ethernet152,400000,132,Access,on
r-bobcat-03,Ethernet160,r-leopard-80,Ethernet160,100000,133,Access,on
r-bobcat-03,Ethernet164,r-leopard-80,Ethernet164,100000,134,Access,on
r-bobcat-03,Ethernet168,r-leopard-80,Ethernet168,100000,135,Access,on
r-bobcat-03,Ethernet172,r-leopard-80,Ethernet172,100000,136,Access,on
r-bobcat-03,Ethernet176,r-leopard-80,Ethernet176,100000,137,Access,on
r-bobcat-03,Ethernet180,r-leopard-80,Ethernet180,100000,138,Access,on
r-bobcat-03,Ethernet184,r-leopard-80,Ethernet184,100000,139,Access,on
r-bobcat-03,Ethernet188,r-leopard-80,Ethernet188,100000,140,Access,on
r-bobcat-03,Ethernet192,r-leopard-80,Ethernet192,100000,141,Access,on
r-bobcat-03,Ethernet196,r-leopard-80,Ethernet196,100000,142,Access,on
r-bobcat-03,Ethernet200,r-leopard-80,Ethernet200,100000,143,Access,on
r-bobcat-03,Ethernet204,r-leopard-80,Ethernet204,100000,144,Access,on
r-bobcat-03,Ethernet208,r-leopard-80,Ethernet208,100000,145,Access,off
r-bobcat-03,Ethernet212,r-leopard-80,Ethernet212,100000,146,Access,off
r-bobcat-03,Ethernet216,r-leopard-80,Ethernet216,100000,147,Access,off
r-bobcat-03,Ethernet220,r-leopard-80,Ethernet220,100000,148,Access,off
r-leopard-80,Ethernet248,r-r740-14,enp21p0,100000,101-148,Trunk

