StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
r-leopard-72,Ethernet0,r-leopard-73,Ethernet0,200000,401,Access,True
r-leopard-72,Ethernet4,r-leopard-73,Ethernet4,200000,402,Access,True
r-leopard-72,Ethernet8,r-leopard-73,Ethernet8,200000,403,Access,True
r-leopard-72,Ethernet12,r-leopard-73,Ethernet12,200000,404,Access,True
r-leopard-72,Ethernet16,r-leopard-73,Ethernet16,200000,405,Access,True
r-leopard-72,Ethernet20,r-leopard-73,Ethernet20,200000,406,Access,True
r-leopard-72,Ethernet24,r-leopard-73,Ethernet24,200000,407,Access,True
r-leopard-72,Ethernet28,r-leopard-73,Ethernet28,200000,408,Access,True
r-leopard-72,Ethernet32,r-leopard-73,Ethernet32,200000,409,Access,True
r-leopard-72,Ethernet36,r-leopard-73,Ethernet36,200000,410,Access,True
r-leopard-72,Ethernet40,r-leopard-73,Ethernet40,200000,411,Access,True
r-leopard-72,Ethernet44,r-leopard-73,Ethernet44,200000,412,Access,True
r-leopard-72,Ethernet48,r-leopard-73,Ethernet48,200000,413,Access,True
r-leopard-72,Ethernet52,r-leopard-73,Ethernet52,200000,414,Access,True
r-leopard-72,Ethernet56,r-leopard-73,Ethernet56,200000,415,Access,True
r-leopard-72,Ethernet60,r-leopard-73,Ethernet60,200000,416,Access,True
r-leopard-72,Ethernet64,r-leopard-73,Ethernet64,200000,417,Access,True
r-leopard-72,Ethernet68,r-leopard-73,Ethernet68,200000,418,Access,True
r-leopard-72,Ethernet72,r-leopard-73,Ethernet72,200000,419,Access,True
r-leopard-72,Ethernet76,r-leopard-73,Ethernet76,200000,420,Access,True
r-leopard-72,Ethernet80,r-leopard-73,Ethernet80,200000,421,Access,True
r-leopard-72,Ethernet84,r-leopard-73,Ethernet84,200000,422,Access,True
r-leopard-72,Ethernet88,r-leopard-73,Ethernet88,200000,423,Access,True
r-leopard-72,Ethernet92,r-leopard-73,Ethernet92,200000,424,Access,True
r-leopard-72,Ethernet96,r-leopard-73,Ethernet96,200000,425,Access,False
r-leopard-72,Ethernet100,r-leopard-73,Ethernet100,200000,426,Access,False
r-leopard-72,Ethernet104,r-leopard-73,Ethernet104,200000,427,Access,False
r-leopard-72,Ethernet108,r-leopard-73,Ethernet108,200000,428,Access,False
r-leopard-72,Ethernet112,r-leopard-73,Ethernet112,200000,429,Access,True
r-leopard-72,Ethernet116,r-leopard-73,Ethernet116,200000,430,Access,True
r-leopard-72,Ethernet120,r-leopard-73,Ethernet120,200000,431,Access,True
r-leopard-72,Ethernet124,r-leopard-73,Ethernet124,200000,432,Access,True
r-leopard-72,Ethernet128,r-leopard-73,Ethernet128,200000,433,Access,True
r-leopard-72,Ethernet132,r-leopard-73,Ethernet132,200000,434,Access,True
r-leopard-72,Ethernet136,r-leopard-73,Ethernet136,200000,435,Access,True
r-leopard-72,Ethernet140,r-leopard-73,Ethernet140,200000,436,Access,True
r-leopard-72,Ethernet144,r-leopard-73,Ethernet144,200000,437,Access,True
r-leopard-72,Ethernet148,r-leopard-73,Ethernet148,200000,438,Access,True
r-leopard-72,Ethernet152,r-leopard-73,Ethernet152,200000,439,Access,True
r-leopard-72,Ethernet156,r-leopard-73,Ethernet156,200000,440,Access,True
r-leopard-72,Ethernet160,r-leopard-73,Ethernet160,200000,441,Access,True
r-leopard-72,Ethernet164,r-leopard-73,Ethernet164,200000,442,Access,True
r-leopard-72,Ethernet168,r-leopard-73,Ethernet168,200000,443,Access,True
r-leopard-72,Ethernet172,r-leopard-73,Ethernet172,200000,444,Access,True
r-leopard-72,Ethernet176,r-leopard-73,Ethernet176,200000,445,Access,True
r-leopard-72,Ethernet180,r-leopard-73,Ethernet180,200000,446,Access,True
r-leopard-72,Ethernet184,r-leopard-73,Ethernet184,200000,447,Access,True
r-leopard-72,Ethernet188,r-leopard-73,Ethernet188,200000,448,Access,True
r-leopard-72,Ethernet192,r-leopard-73,Ethernet192,200000,449,Access,True
r-leopard-72,Ethernet196,r-leopard-73,Ethernet196,200000,450,Access,True
r-leopard-72,Ethernet200,r-leopard-73,Ethernet200,200000,451,Access,True
r-leopard-72,Ethernet204,r-leopard-73,Ethernet204,200000,452,Access,True
r-leopard-72,Ethernet208,r-leopard-73,Ethernet208,200000,453,Access,True
r-leopard-72,Ethernet212,r-leopard-73,Ethernet212,200000,454,Access,True
r-leopard-72,Ethernet216,r-leopard-73,Ethernet216,200000,455,Access,True
r-leopard-72,Ethernet220,r-leopard-73,Ethernet220,200000,456,Access,True
r-leopard-72,Ethernet224,r-leopard-73,Ethernet224,200000,457,Access,True
r-leopard-72,Ethernet228,r-leopard-73,Ethernet228,200000,458,Access,True
r-leopard-72,Ethernet232,r-leopard-73,Ethernet232,200000,459,Access,True
r-leopard-72,Ethernet236,r-leopard-73,Ethernet236,200000,460,Access,True
r-leopard-72,Ethernet240,r-leopard-73,Ethernet240,200000,461,Access,True
r-leopard-72,Ethernet244,r-leopard-73,Ethernet244,200000,462,Access,True
r-leopard-72,Ethernet248,r-leopard-73,Ethernet248,200000,463,Access,True
r-leopard-72,Ethernet252,r-leopard-73,Ethernet252,200000,464,Access,True
r-leopard-73,Ethernet248,dev-r-vrt-249,p4p1,100000,401-464,Trunk,True
