StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode,AutoNeg
r-leopard-01,Ethernet0,r-leopard-20,Ethernet0,200000,301,Access,off
r-leopard-01,Ethernet4,r-leopard-20,Ethernet4,200000,302,Access,off
r-leopard-01,Ethernet8,r-leopard-20,Ethernet8,200000,303,Access,off
r-leopard-01,Ethernet12,r-leopard-20,Ethernet12,200000,304,Access,off
r-leopard-01,Ethernet16,r-leopard-20,Ethernet16,200000,305,Access,off
r-leopard-01,Ethernet20,r-leopard-20,Ethernet20,200000,306,Access,off
r-leopard-01,Ethernet24,r-leopard-20,Ethernet24,200000,307,Access,on
r-leopard-01,Ethernet28,r-leopard-20,Ethernet28,200000,308,Access,on
r-leopard-01,Ethernet32,r-leopard-20,Ethernet32,200000,309,Access,on
r-leopard-01,Ethernet36,r-leopard-20,Ethernet36,200000,310,Access,on
r-leopard-01,Ethernet40,r-leopard-20,Ethernet40,200000,311,Access,on
r-leopard-01,Ethernet44,r-leopard-20,Ethernet44,200000,312,Access,on
r-leopard-01,Ethernet48,r-leopard-20,Ethernet48,200000,313,Access,on
r-leopard-01,Ethernet52,r-leopard-20,Ethernet52,200000,314,Access,on
r-leopard-01,Ethernet56,r-leopard-20,Ethernet56,200000,315,Access,on
r-leopard-01,Ethernet60,r-leopard-20,Ethernet60,200000,316,Access,on
r-leopard-01,Ethernet64,r-leopard-20,Ethernet64,200000,317,Access,on
r-leopard-01,Ethernet68,r-leopard-20,Ethernet68,200000,318,Access,on
r-leopard-01,Ethernet72,r-leopard-20,Ethernet72,200000,319,Access,on
r-leopard-01,Ethernet76,r-leopard-20,Ethernet76,200000,320,Access,on
r-leopard-01,Ethernet80,r-leopard-20,Ethernet80,200000,321,Access,on
r-leopard-01,Ethernet84,r-leopard-20,Ethernet84,200000,322,Access,on
r-leopard-01,Ethernet88,r-leopard-20,Ethernet88,200000,323,Access,on
r-leopard-01,Ethernet92,r-leopard-20,Ethernet92,200000,324,Access,on
r-leopard-01,Ethernet96,r-leopard-20,Ethernet96,200000,325,Access,on
r-leopard-01,Ethernet100,r-leopard-20,Ethernet100,200000,326,Access,on
r-leopard-01,Ethernet104,r-leopard-20,Ethernet104,200000,327,Access,on
r-leopard-01,Ethernet108,r-leopard-20,Ethernet108,200000,328,Access,on
r-leopard-01,Ethernet112,r-leopard-20,Ethernet112,200000,329,Access,on
r-leopard-01,Ethernet116,r-leopard-20,Ethernet116,200000,330,Access,on
r-leopard-01,Ethernet120,r-leopard-20,Ethernet120,200000,331,Access,on
r-leopard-01,Ethernet124,r-leopard-20,Ethernet124,200000,332,Access,on
r-leopard-01,Ethernet128,r-leopard-20,Ethernet128,200000,333,Access,on
r-leopard-01,Ethernet132,r-leopard-20,Ethernet132,200000,334,Access,on
r-leopard-01,Ethernet136,r-leopard-20,Ethernet136,200000,335,Access,on
r-leopard-01,Ethernet140,r-leopard-20,Ethernet140,200000,336,Access,on
r-leopard-01,Ethernet144,r-leopard-20,Ethernet144,200000,337,Access,on
r-leopard-01,Ethernet148,r-leopard-20,Ethernet148,200000,338,Access,on
r-leopard-01,Ethernet152,r-leopard-20,Ethernet152,200000,339,Access,on
r-leopard-01,Ethernet156,r-leopard-20,Ethernet156,200000,340,Access,on
r-leopard-01,Ethernet160,r-leopard-20,Ethernet160,200000,341,Access,on
r-leopard-01,Ethernet164,r-leopard-20,Ethernet164,200000,342,Access,on
r-leopard-01,Ethernet168,r-leopard-20,Ethernet168,200000,343,Access,on
r-leopard-01,Ethernet172,r-leopard-20,Ethernet172,200000,344,Access,on
r-leopard-01,Ethernet176,r-leopard-20,Ethernet176,200000,345,Access,on
r-leopard-01,Ethernet180,r-leopard-20,Ethernet180,200000,346,Access,on
r-leopard-01,Ethernet184,r-leopard-20,Ethernet184,200000,347,Access,on
r-leopard-01,Ethernet188,r-leopard-20,Ethernet188,200000,348,Access,on
r-leopard-01,Ethernet192,r-leopard-20,Ethernet192,200000,349,Access,on
r-leopard-01,Ethernet196,r-leopard-20,Ethernet196,200000,350,Access,on
r-leopard-01,Ethernet200,r-leopard-20,Ethernet200,200000,351,Access,on
r-leopard-01,Ethernet204,r-leopard-20,Ethernet204,200000,352,Access,on
r-leopard-01,Ethernet208,r-leopard-20,Ethernet208,200000,353,Access,on
r-leopard-01,Ethernet212,r-leopard-20,Ethernet212,200000,354,Access,on
r-leopard-01,Ethernet216,r-leopard-20,Ethernet216,200000,355,Access,on
r-leopard-01,Ethernet220,r-leopard-20,Ethernet220,200000,356,Access,on
r-leopard-01,Ethernet224,r-leopard-20,Ethernet224,200000,357,Access,on
r-leopard-01,Ethernet228,r-leopard-20,Ethernet228,200000,358,Access,on
r-leopard-01,Ethernet232,r-leopard-20,Ethernet232,200000,359,Access,on
r-leopard-01,Ethernet236,r-leopard-20,Ethernet236,200000,301-364,Trunk,on
r-leopard-01,Ethernet240,r-leopard-20,Ethernet240,200000,361,Access,on
r-leopard-01,Ethernet244,r-leopard-20,Ethernet244,200000,362,Access,on
r-leopard-01,Ethernet248,r-leopard-20,Ethernet248,200000,363,Access,on
r-leopard-01,Ethernet252,r-leopard-20,Ethernet252,200000,364,Access,on
r-leopard-20,Ethernet236,arc-host70,p5p1,100000,301-364,Trunk,on
